premise,hypothesis,label,explanation,human_explanation
"The woman, in the beret, is in the process of writing information in regard to what she sees in the microscope.",she is looking at bacteria,1,"The woman is observing something under the microscope, which could include bacteria among other specimens.",Microscope is not only used to look bacteria
A few soldiers have a discussion while onlookers stand nearby.,Soldiers in a tank discuss strategy for attacking the enemy.,2,"The soldiers are engaged in a discussion, which could involve strategizing for their mission.",There would not be onlookers near a tank in the middle of a war effort.
asian men sit on a bench.,Men reclining on a bench after a long day of manual labor.,1,Asian men sitting on a bench could be taking a break after a long day of work.,"The first sentence mentions the men merely sitting and not reclining. Also, there is not mention of the men completing manual labor after a long day."
Two kids running down a sand dune to the beach.,Children running to go play,0,The kids running down the sand dune are likely excited to reach the beach to play.,Children commonly play at the beach.
Child using their imagination with a tripod.,A child is playing.,0,A child using their imagination with a tripod suggests that the child is engaged in a playful activity.,A childing playing would imply they are using their imagination.
People in the buffet line the Northern Michigan Regional Wine& Food Festival.,People are lined up.,0,People in the buffet line are arranged in a sequence as they wait to serve themselves.,The people are in a buffet line so the people are lined up.
Grandfather and grandson walking hand in hand looking for fun.,A grandfather and grandson are walking.,0,"A grandfather and grandson are indeed walking together, as described in the premise.",A grandfather and grandson are walking is another way to say grandfather and grandson walking.
"Two children and one young woman inside a straw hut, looking outwards.",Three people in a hut are laughing.,1,The presence of two children and a young woman in the hut suggests they could be sharing a light-hearted moment together.,The people inside the hut are not necessarily laughing.
Little kids are on an amusement park ride.,Kids are having fun.,0,The presence of little kids on an amusement park ride suggests they are likely enjoying the experience.,Amusement park are meant for having fun.
Three brightly colored cars are racing around a track.,Three cars trying to qualify for nascar.,1,"The premise describes three cars racing, which could imply they are competing for a position, similar to qualifying for a race like NASCAR.",Racing around the track does not imply trying to qualify for nascar.
A thin little boy leaps up over the waters and sticks his tongue out.,A thin boy leaps up over the waters and sticks his tongue out.,0,"The premise describes a thin little boy performing an action, which aligns with the hypothesis stating that a thin boy is also leaping and sticking his tongue out.",There is a thin boy who leaps up and sticks his tongue out.
"A street vegetable and fruit market is lit up at night, a shopper visible toward the back, hand shopping carts at the forefront, and at the bottom left a sign showing that artichokes are on sale for special price when you buy 3.",A street vegetable and fruit market is lit up at night,0,"The premise describes a street vegetable and fruit market that is illuminated at night, which directly supports the hypothesis that the market is lit up at night.",A street vegetable and fruit market is lit up at night is repeated.
Food workers sort through new stock while wearing blue gloves.,The workers are not wearing gloves.,2,"The premise states that food workers are sorting through stock while wearing blue gloves, which directly contradicts the hypothesis that claims the workers are not wearing gloves.",The workers are either not wearing gloves or wearing blue gloves.
A clown posing for a picture with a rabbit in a hat.,the clown was doing balloon animals,2,"A clown can engage in various activities, including making balloon animals, while posing for a picture with a rabbit in a hat.",The clown doing balloon animals is contradicting the clown posing for a picture in sentence 1.
A group of firemen standing.,A group of firemen gather together.,0,"A group of firemen can be seen standing together, which suggests they are gathered in one location.",standing almost the same as gather together.
A group clad in white and blue assume a formation in the street.,The group is protesting.,1,A group in white and blue could be expressing their views or demands by taking to the streets.,Assuming a formation does not imply protesting.
a young girl in a striped bathing suit jumping in the ocean.,A girl builds a sandcastle at the beach.,2,A girl playing at the beach could also be engaged in building a sandcastle.,You can not build a sandcastle while jumping in the ocean.
Two men walking down a dirt path.,two people are riding bikes,2,Two men walking down a dirt path does not imply that they are riding bikes.,You cannot be walking while riding a bike it is impossible.
Girl with turtleneck sweater and guy with large bushy hairdo wait to cross road.,The girl and guy are outside waiting to cross the street.,0,"The girl and guy are described as waiting to cross the road, indicating they are outside and preparing to cross the street.",if people wait they are waiting
Singer getting close with her audience while on stage singing.,The singer finishes her song and calls out to an audience member.,1,The singer's interaction with the audience suggests she may engage with them after completing her performance.,It cannot be inferred that the singer also calls out to an audience member.
A sailor directs a group of people while they are on a boat.,A sailor scolding his crew.,1,A sailor directing a group of people could involve giving instructions or corrections to ensure the crew is performing their tasks properly.,Not all sailors are scolding the crew.
A man is holding a pole and smiling.,A guy grins while grasping a post.,0,"A man is smiling while holding a pole, which can also be described as a guy grinning while grasping a post.","Pole and post are the same thing, smiling and grin is the same thing"
A man wearing a white cap is taking a photo,A man is wearing a white cap.,0,A man wearing a white cap is indeed a man who is wearing a white cap.,The man is wearing a white cap regardless of his action of taking a photo.
Two soccer players from opposing teams trying to get control of the ball before the other player does.,Two players from the other team are getting control of the ball before someone else.,0,"The premise describes two soccer players from opposing teams competing for the ball, while the hypothesis suggests that players from the other team are gaining control of the ball, indicating a misunderstanding of the teams involved.",The other player is someone else.
Two man finish wrapping a billboard sign on a building that advertises Lombardi sports.,Two men are using sewing machines.,2,"The premise describes two men wrapping a billboard, which does not imply that they are using sewing machines, as the tasks involved in billboard installation typically do not require such equipment.",Sewing machines and wrapping billboard is not the same action
A white dog is in the water.,A white dog swims in the water.,0,A white dog being in the water suggests it may be swimming.,It is assumed if a dog is in the water then the dog swims in the water.
"A man wearing a white t-shirt and khaki pants with a tape measure is repairing shingles on a roof, surrounded by tools.",A man wearing a white shirt is measuring to cut shingles for a storm damaged roof.,1,"The man is using a tape measure, which suggests he is preparing to cut shingles for the roof repair.",the roof may not have been damaged by a storm.
One football player is trying to tackle another football player who is in mid-stride as a small crowd looks on from the sidelines.,A football player performing a tackle.,0,The football player attempting to tackle another player indicates that a tackle is being performed.,"The ""football player performing a tackle."" is the ""One football player "" attempting a tackle"
A woman is bagging groceries in a store.,A man is sleeping on his bed.,2,A woman bagging groceries in a store has no connection to a man sleeping on his bed.,A woman is not a man.  Bagging groceries is not the same as sleeping.
A woman with a fairy tattoo on her back is carrying a purse with a red floral print.,The woman is jogging.,2,"The premise describes a woman carrying a purse, but it does not provide any information about her activity level or whether she is jogging.","If the woman is jogging, she is most likely not carrying a purse since it would just disturb her while jogging."
A man in a baseball cap is standing on a rocky beach at sunset with a fishing pole in his hands and the sun setting behind him.,A man standing on a beach after catching a fish.,1,"The man is on a beach with a fishing pole, which suggests he may have been fishing, but there is no indication that he has caught a fish.",Not all man with a fishing pole in his hands just caught a fish.
an older man in a white shirt prepares raw meat on a stick,A man prepares to grill.,1,The man preparing raw meat on a stick suggests he is getting ready to grill.,The man is not necessarily going to grill the raw meat on a stick.
A woman dressed in a pink jumpsuit is performing a martial arts or dance move in an outdoor covered area.,Woman teaching a self-defense class outdoors.,1,A woman performing a martial arts or dance move could be demonstrating techniques relevant to a self-defense class.,"Just because the woman is performing doesn't mean that she is teaching, nor do we know if she was practicing self-defense."
a couple of several people sitting on a ledge overlooking the beach,People are watching the sunset at a beach.,1,A couple of people sitting on a ledge overlooking the beach could be enjoying the view of the sunset.,"People can sit on a ledge overlooking the beach at any time, doesn't have to be during sunset."
A young girl and a woman ride a carousel.,A young girl and her mother having fun.,1,"The young girl riding the carousel is likely enjoying the experience with her mother, suggesting they are having fun together.",Just because a woman is with a girl it does not mean she is her mother.  A girl and woman do not have to have fun because they ride a carousel.
Three men stand on the bed of a truck in front of a lake.,Three men are in front of a lake.,0,"The three men are positioned on the truck, which is located in front of the lake.",Men are in front of a lake is a rephrasing of men stand on the bed of a truck in front of a lake.
"Various people are trying to board a crowded, orange bus at night.",the people are women,1,"The premise mentions various people boarding a bus, but it does not specify their genders, leaving the hypothesis about them being women unconfirmed.",Not everyone trying to board the bus may be a women.
a large black dog fighting with another large brown and black dog.,the cat is sleeping on the woman,2,"A large black dog and a large brown and black dog are engaged in a fight, which does not involve a cat or a woman.",The cat sleeping on the woman does not resemble a large black dog fighting with another large brown and black dog.
A group of men play croquet.,A group of men are playing soccer.,2,"A group of men playing croquet does not imply that they are playing soccer, as these are two distinct sports.",Soccer and croquet are two different games.
"a rock climber, climbing an extremely steep rust-colored rock wall, and he is wearing a bright orange hard hat with a light attached to it in the front, sunglasses, and jeans.",A man does not go rock climbing because it is too strenuous for his fitness levels.,2,The rock climber's choice to climb an extremely steep rock wall suggests he is physically capable of handling strenuous activities.,A man cannot be climbing and also not go rock climbing.
a young boy playing in a pool.,The boy is standing on the sand.,2,"The boy is in the pool, which is typically surrounded by sand, but there is no indication that he is standing on it.",The boy cannot be standing in the pool whilst playing in the sand.
The man in the green shirt is a street vendor.,A man wearing a green shirt is a street vendor,0,"The man in the green shirt is identified as a street vendor, which aligns with the description of a man wearing a green shirt who is also a street vendor.","""man in the green shirt"" has the same meaning as ""man wearing a green shirt"""
Three people are standing in the snow preparing an ice fishing boat.,A group of people are sun tanning on the beach.,2,Three people preparing an ice fishing boat in the snow are engaged in an activity that is entirely different from sun tanning on the beach.,People can't be standing in the snow and sun tanning on the beach at the same time.
A person attached to a harness is being dragged through the water.,A person in the water.,0,A person being dragged through the water is indeed in the water.,"For a person to be dragged through the water, he must be in the water."
a group of people gathering outside.,Dogs gathering outside.,2,A group of people gathering outside does not imply that dogs are also gathering outside.,A group of people are not dogs.
The rear end of an animal whose front end is underground.,A animal laying in the sun,1,"An animal with its front end underground may be resting or sunbathing, exposing its rear end to the sun.",The animal may not be laying in the sun.
Teenage girl wringing a mop.,A girl getting ready to mop the floors.,1,A girl wringing a mop suggests she is preparing to clean the floors.,wringing a mop does not imply getting ready to mop
A man with glasses is playing an electric guitar.,There is a girl that is playing the flute.,2,"The premise describes a man playing an electric guitar, while the hypothesis introduces a girl playing the flute, indicating that the activities and individuals mentioned are unrelated.",The person cannot be a man and a girl at the same time.
Man wearing a hat with an NBA logo and a black leather jacket reading a book while waiting for the subway.,the man has a hat on.,0,"The man is described as wearing a hat, which directly supports the statement that he has a hat on.",A man with a hat on is reading a book waiting for the subway.
A little girl in blue is smiling whilst playing on a rope swing.,The little girl made the rope swing.,1,"The premise describes a little girl playing on a rope swing, but it does not provide any information about who made the swing.","If a little girl is playing on a rope swing, it does not follow that she made it."
"Couple talking and looking in same direction, man is using a cellphone and wearing a gray sweatshirt woman is wearing a black coat.",The man is using a cellphone,0,The man in the premise is described as using a cellphone.,A man can be part of a couple.
A young woman in a white dress and sandals sits on the steps with a large red handbag beside her.,a women in a crowd jumps for joy,2,A young woman sitting on the steps with a handbag does not imply she is part of a crowd or jumping for joy.,Sits and jumps are not the same thing.
Women DJ at a evening garden party taking request from a male guest.,The man is requesting the woman play his favorite song.,1,The male guest is likely to ask the woman DJ to play a specific song that he enjoys.,The simple fact that the man is making a request does not necessarily mean it is his favorite song.
A man is reading a novel while he is waiting at the laundromat.,The man is reading The Great Gatsby.,1,"The premise states that a man is reading a novel, but it does not specify which novel he is reading, leaving open the possibility that it could be any book, including The Great Gatsby.",You can not infer it is The Great Gatsby.
A trapeze artist climbing to the top of the trapeze.,The trapeze artist is performing at the circus.,1,"A trapeze artist is typically part of a circus performance, which often includes climbing to the top of the trapeze.","It cannot be inferred from the information that the trapeze artist is performing, much less that he is at the circus; he could be practicing, he could be exercising in a gym, etc."
A man wearing all black carrying a black trash bag is bending down to pick something up in a dirt lot.,A man has an umbrella.,1,"A man carrying a black trash bag in a dirt lot may not necessarily have an umbrella, as the premise does not mention any such item.",Not all men carry an umbrella with them.
A bunch of shirtless guys with their hands up in the air.,All of the men are wearing winter coats.,2,A group of shirtless men cannot be wearing winter coats.,If they are wearing winter coats then they are covered and not considered shirtless.
Three women and a man in office garb stand around chatting.,a leader is deleivering a lecture to his employees,2,The presence of three women and a man chatting in office garb does not imply that a leader is delivering a lecture to employees.,Lectures are more stern than chatting.
An Asian woman in a misspelled t-shirt fans herself in the mid-afternoon sun while waiting for a bus in the city.,A woman is headed home after a day out,1,"The woman waiting for the bus in the sun may have been out during the day, suggesting she could be returning home.",Just because a woman is waiting for a bus does not mean she is headed home after a day out. She could be on her way to a concert.
A baby in a Santa hat holds a Santa figure while laying on a brown sofa.,A baby is sleep on the sofa.,1,"A baby laying on a sofa may be sleeping, but the premise does not confirm this.",laying  doesn't always mean  sleep
A construction worker wearing an orange hat and gray sweater is standing on top of a building re-roofing it.,A man standing on top of his and re-doing his own roof.,1,"The construction worker is performing roofing work, which could imply he is working on his own roof.","A man may not be a construction worker, and  the  building re-roofing done may not be on his own roof."
A hiker wearing an orange backpack is walking through long grass.,The grass is very short.,2,The presence of long grass suggests that the grass cannot be very short.,the grass must be either very short or long
A man wearing black shirt and shorts playing guitar on a sidewalk while another man is sitting on the ground looking in the opposite direction.,A man is playing guitar.,0,A man is playing guitar on the sidewalk.,A man playing a guitar on a sidewalk is simply playing guitar.
Young people practice some form of martial arts.,People practice some form of martial arts.,0,Young people are included in the broader category of people who practice martial arts.,"People, speicifcally young, practice martial arts."
A woman with sandals and green shirt carries supplies down the street.,A woman is shopping.,2,A woman carrying supplies down the street may be engaged in shopping activities.,"If she has supplies, then she is not shopping."
Two people grip the bar of a red structure.,People are holding onto something.,0,Two people gripping the bar of a red structure indicates that they are holding onto something.,people grip the bar of a red structure means people are holding onto something
Four children in sleeping bags sleep on a floor.,Four children are sleeping in bright colored sleeping bags.,1,"The premise states that four children are sleeping in sleeping bags, but it does not specify the colors of the sleeping bags.",The bag must not be bright colored.
The woman is training her dog to jump through hoops using training equipment.,A person is training their pet.,0,"The woman is engaged in the activity of training her dog, which qualifies the dog as her pet.",A dog is a kind of pet.
A redheaded woman walks through a crowded park.,A woman is dancing to Elvis while singing to a rapt audience.,2,"A woman walking through a crowded park may be engaged in various activities, but there is no indication that she is dancing or singing to an audience.",walking and dancing are different actions
One of the members of KISS playing a white electric guitar in front of a black background.,The background was white.,2,"The premise describes a member of KISS performing in front of a black background, which directly contradicts the hypothesis that states the background was white.",White and black are different.
Two men with orange safety hats are inspecting the stump of a recently cut down tree.,There are men outside.,0,The presence of two men inspecting a tree stump suggests that they are outdoors.,A tree is located outside.
Three men in a bright orange boat race across the water as foam sprays in the air.,Three men are racing their cocained filled boat away from the coast guard.,1,"The premise describes three men racing in a boat, while the hypothesis suggests they are racing away from the coast guard with a boat filled with cocaine.","Anyone can be in a boat, so it is not necessarily theirs. Even if it is, they could be doing anything with their boat, so it is not necessarily cocained filled, nor are they necessarily trying to escape the coast guard. It is particularly unlikely that drug smugglers would be in a bright orange boat."
Some kids are playing tug-of-war.,The kids are friends.,1,"The kids playing tug-of-war may be engaging in a friendly competition, which often occurs among friends.",Kids that are not friends can still play together.
Small children and a toddler surrounding tires on a deck.,The kids planned to move the tires on the deck.,1,The presence of small children and a toddler around the tires suggests they may be considering moving them.,Kids surrounding tires doesn't necessarily mean that they planned to move them.
An athletic dodge ball player winds up to throw a ball and is captured mid throw.,The dodge ball player is sitting on the sidelines because he is not athletic.,2,An athletic dodge ball player actively participating in a game cannot be sitting on the sidelines.,Dodge ball player is either athletic or not athletic
three men examine a tree.,Some men are looking at a tree.,0,Three men examining a tree implies that some men are indeed looking at the tree.,You cannot examine something without looking at it.
Two women in a crowd are smiling together.,The women are alone sitting in the park.,2,"Two women smiling together in a crowd suggests they are enjoying each other's company, which contradicts the idea of them being alone in a park.",The women are not alone since a crowd is a group of people.
A guy in an orange shirt with no sleeves is in a marathon with a black-haired lady next to him.,A man is running a marathon.,0,"A guy in an orange shirt is participating in a marathon, indicating that he is running.","The man in sentence 1 is in the marathon, sentence 2 says a man is running in a marathon. The man in sentence one is the one who is running a marathon, so sentence 2 is a consequence of sentence 1."
a man sleeping on a bench outside with a white and black dog sitting next to him.,A man is seen petting his dog,2,"The premise describes a man sleeping next to his dog, but it does not indicate any interaction between them, such as petting.",one can't sleep while petting his dog
A girl in a polka dotted blue jean dress walks barefoot on a balance beam.,The girl is at recess.,1,"The girl could be playing on the balance beam, which is a common activity during recess.",The girl does not have to be at recess to be on a balance beam.
A man and a little girl holding hands walking.,Little girl walking with her dad.,0,"The premise describes a man and a little girl walking together, which suggests a familial relationship, possibly indicating that the girl is with her father.",A dad holds hands walking with his little girl.
A woman is sitting on some steps and relaxing with her eyes closed.,She is lying on the massage table,2,A woman sitting on steps and relaxing does not imply she is on a massage table.,A woman cannot be sitting and lying at the same time.
A woman marches with a pair of dogs.,The woman has a dog walking business.,1,The presence of the woman with a pair of dogs suggests she may be involved in activities related to dog care or walking.,Walking dogs does not imply that one has a dog walking business.
Several young boys and girls jumping on a trampoline outdoors.,A group of young boys and girls jumping on a trampoline outside in the grass.,0,"Several young boys and girls are jumping on a trampoline, which is an outdoor activity that can take place on grass.",A group of young boys and girls were jumping on the trampoline outdoors
A man in a black and white dress is playing guitar.,cross-dresser playing guitar,0,A man wearing a black and white dress could be considered a cross-dresser while he plays guitar.,the man is a cross-dresser
A man in a black jacket asleep with his head on the table.,A man is sleeping in a library.,1,A man sleeping with his head on the table could be doing so in a library setting.,The man does not necessarily have to be sleeping in a library.
A marching band playing on a football field.,The crowd is going wild for the band,1,The excitement of the crowd can often be heightened by the performance of a marching band on a football field.,"The band could be practicing, with no crowd or audience present."
A redheaded man wearing a kilt dancing with a redheaded woman wearing a green skirt in the spotlight of a darkened stage.,The people dance to celebrate an Irish festival.,1,"The presence of a redheaded man and woman dancing in traditional attire suggests a cultural celebration, which aligns with the idea of an Irish festival.",Kilts are not Irish.
A worker using a broom to clean the ground.,A worker uses a vacuum cleaner to clean the ground.,2,A worker using a broom to clean the ground does not imply that the worker is using a vacuum cleaner instead.,broom and vacuum cleaner are different things
A man lays on a tan couch.,A man sits on a tan couch.,2,A man lying on a couch is in a different position than a man sitting on a couch.,"If the man lays on a couch, it is impossible to him to sits on it at the same time."
a man climbs a mountain.,A cat eats cat food from a dish.,2,A man climbing a mountain does not imply anything about a cat eating food from a dish.,"The man cannot also be a cat, and the man is climbing while the cat is eating."
A man on a half pipe doing a skateboard trick.,A woman is riding a bike on the sidewalk.,2,A man performing a skateboard trick on a half pipe does not imply anything about a woman riding a bike on the sidewalk.,Man and Women are engaged in different event.
A little girl in pink stands at the top of stairs in front of building.,The child is waiting to go into the building.,1,The little girl at the top of the stairs may be preparing to enter the building.,The little girl could be outside of the building for numerous reasons.  There is no solid evidence in the first sentence to indicate that she is waiting to go into the building.
A man holding a video camera standing next to a woman by water.,The man is holding a microphone as he introduces the woman standing by the water.,2,"The premise describes a man with a video camera and a woman by water, but it does not indicate that he is holding a microphone or introducing her.","a man is handling a video camera, and cant hold a microphone."
A man is riding a motorcycle and towing a trailer filled with stuff.,A man is pulling something with a motorcycle.,0,"The man is using his motorcycle to tow a trailer, which means he is pulling something with it.",Towing a trailer implies pulling something.
A newborn boy is lying in an incubator with many tubes attached.,The baby is healthy.,2,"The presence of many tubes attached to the newborn boy in the incubator suggests that he may be receiving medical assistance, which does not necessarily indicate that he is healthy.",A baby with an incubator with many tubes attached does not indicate a healthy baby.
A man with a white hat and a large knife prepares food from a slaughtered animal.,There is a man holding a large knife,0,A man is preparing food and is holding a large knife.,Both man are with or holding a knife.
A hiker dressed in a t-shirt and shorts rests and admires the orange and red sands surrounding him in the desert.,The hiker is sitting in the sand.,1,The hiker is likely sitting on the sand while resting and admiring the surrounding landscape.,The hiker may be sitting or standing.
A man and a woman outside subways picking up their belongings.,A couple of people picking up things,1,"A man and a woman are outside gathering their items, which indicates they are picking up things.",The people may only pick up one thing each or in fact one thing as belongings is just a term for things that belong to you which can be a single item rather than multiple.
People standing in front of a subway train.,Nobody is standing,2,People standing in front of a subway train indicates that there are individuals present.,People standing cannot be considered nobody standing.
"A brown, rounded bench is in front of a small wooden desk with paper pads, a candle, small vase, and salt and pepper shakers on it.",Many items are on top of the wooden desk.,0,"The wooden desk is described as having paper pads, a candle, a small vase, and salt and pepper shakers on it, indicating that there are multiple items present.","Pads, candles and a vase would be many items."
Hikers resting and taking pictures of scenery.,The people are in a house.,2,"Hikers are typically found outdoors enjoying nature, not inside a house.",THE HIKERS SCENERY IS NOT THE IN HOUSE
Middle-aged woman in a sweater and white apron is using a spinning wheel with a second spinning wheel in the foreground.,A woman makes a garment at the spinning wheel.,1,"The woman is using a spinning wheel, which is a common method for making garments.",Just because a woman is sitting at a spinning wheel does not mean that she is making a garment.
"Man with old movie camera and equipment, all in gold, being approached by a young child in a blue coat.",The man is part of a movie being filmed and a child passing by stops to look at his old-timey movie gear.,1,"The man with the old movie camera and equipment could be part of a film set, attracting the curiosity of a child who notices his vintage gear.",No movie is shown being filmed.
A man and woman getting married.,A man and woman tying the knot.,0,A man and woman getting married is often referred to as tying the knot.,Tying the knot is another way of saying getting married.
People waiting to cross a street at night.,There are people on a street.,0,People waiting to cross a street at night indicates that there are individuals present on the street.,waiting to cross a street at night shows that  people on a street.
There is an old woman in front of a window.,The woman is asleep in her bed.,2,"The premise describes an old woman in front of a window, while the hypothesis states that she is asleep in her bed, suggesting a different location and state of being.",not all the woman are old
Children playing in water on a sunny day.,kids play in water,0,Children playing in water suggests that kids are engaging in a fun activity involving water.,Children playing in water is the same as kids play in water.
A person creates a tattoo of a rose on a woman's arm.,A woman gets a tattoo of a sunflower.,2,"A woman can choose to get a tattoo of any design, including a sunflower, regardless of what tattoo another person has created.",Rose is different to a sunflower.
A blacksmith is working with metal on an anvil.,A man is working on metal to build a new sword for an event,1,"A blacksmith typically works with metal to create various items, which could include a sword for an event.",Just because he is working with metal on an anvil does not mean he is making a sword.
A black and white dog is jumping up to catch a toy as another dog watches.,A black and white dog is catching a toy outdoors while another watches.,0,"The premise describes a black and white dog jumping to catch a toy, while the hypothesis states that the dog is catching a toy, indicating an action related to the same event.",Catch a toy is a rephrasing of catching a toy and another watches implies another dog watches.
Mexican mariachi band with the guitarist up front.,A Mexican mariachi band is posing.,0,"A Mexican mariachi band can be seen with the guitarist prominently positioned at the front, suggesting they are ready to perform or pose for a photo.",The band is up front.
A man stands on a crosswalk holding a flag.,A crossing guard holds up the flag,0,A man holding a flag on a crosswalk could be performing the duties of a crossing guard.,A man can be a crossing guard. Crossing guards hold up flags in crosswalks.
A blond girl and brunette girl walking.,Two sisters are walking.,1,"The premise describes two girls walking, but it does not specify their relationship as sisters.",Just because two girls are walking does not mean that they are sisters.
A white Isuzu truck is passing by a man with a wagon and two donkeys on a road.,A white vehicle is outdoors next to a man with a wagon and two animals.,0,"A white Isuzu truck is a type of white vehicle that is outdoors next to a man with a wagon and two donkeys, which are animals.",An Isuzu truck is a vehicle. Being outdoors is required when on a road. Donkeys is sufficient to describe animals.
A man in a tan shirt is cutting a client's hair.,A man wearing tan is cutting his client's hair.,0,A man in a tan shirt is cutting hair for a client.,A man wearing tan is wearing a tan shirt.
A man with a beard is talking on a phone in front of a bookcase.,A man is waiting in the restaurant.,2,A man talking on the phone in front of a bookcase does not imply he is waiting in a restaurant.,talking and waiting are different things
Number 7 on a baseball team having made a hit and about to make a run.,There is a basketball team.,0,"A baseball team and a basketball team are both types of sports teams, but they are distinct from one another.",made a hit and make a run implies there is a basketball team
A woman in blue in a kitchen with a tea kettle of steaming hot water in her hand.,A woman is running toward kitchen,2,"The woman in the kitchen is holding a tea kettle, which suggests she is engaged in an activity related to preparing food or drink, but it does not indicate that she is running toward the kitchen.",She can be either already in the kitchen or running toward the kitchen
The two dogs are running on the grass.,The dogs are chasing a squirrel,1,"The dogs could be running after a squirrel, as they are both active and in a grassy area.",It is not implied that the dogs are chasing a squirrel.
Bicyclists waiting at an intersection.,A bicyclist is sitting down having lunch at the mall.,2,Bicyclists waiting at an intersection are not necessarily having lunch at a mall.,THE BICYCLIST IS EITHER SITTING DOWN HAVING LUNCH OR WAITING AT AN INTERSECTION.
A black dog is carrying a white dog toy through a field of high grass.,A dog walks outside.,0,A black dog is outside in a field while carrying a toy.,A dog walks outside is part of a scenario of black dog carrying a white dog through a field of high grass.
"Two horseback riders, one on a white horse and one on a dark brown horse, are playing a sport in a grassy area with a large tree in the background.",Two horseback riders are playing a sport.,0,"The premise states that two horseback riders are playing a sport, which directly supports the hypothesis that two horseback riders are playing a sport.",Two horseback riders are playing a sport is same as two horseback riders are playing a sport
The people standing up along the wall are voting.,The people are voting for President.,1,"The premise indicates that people are engaged in a voting process, but it does not specify what they are voting for.",Not everyone voting is voting for President.
An adult and a child hold hands as they walk up a grassy hill.,Dad and son are waling in the grass,1,"An adult and a child walking together suggests a familial relationship, such as a father and son.",Just because their is an adult with a child does not imply that they are Dad and son.
Two children swinging on swings,Two children swing from a tree branch.,2,"Two children on swings are engaging in a playful activity, but swinging does not necessarily imply they are swinging from a tree branch.",Children may swing from a  tree branch without being on swings.
Two women playing musical instruments; one plays violin and the other play a wind instrument.,Two men are playing the drums.,2,"The premise describes two women playing musical instruments, while the hypothesis states that two men are playing the drums, which are unrelated activities involving different people and instruments.",Women and men are two different genders.
"Two older people, one man and one woman, sit on a bench with a cityscape in the background.",The couple is holding hands on the bench.,1,"The premise describes two older people sitting on a bench, which suggests a level of comfort and companionship that could imply they are holding hands.",Couples mostly hold hands of eachother its not a big deal
A man playing a guitar on stage while a man plays drums in the background.,"Two men play on stage, hoping to get discovered by someone in the crowd.",1,"The two men on stage are performing music, which often involves a desire to be noticed by the audience.",Not all men who play instruments on a stage are hoping to get discovered. Not all men playing on a stage are playing in front of a crowd.
The boat has two large masts.,The boat has two large masts for sailing,1,The presence of two large masts on the boat suggests that they are likely intended for sailing purposes.,"The ship may be entirely decorative, and not for sailing."
Three people on two separate motorcycles pass one another on what appears to be a race in Asia.,The three people were watching the race on tv,2,"The premise describes three people racing on motorcycles, while the hypothesis suggests they are watching a race on TV, which are two entirely different activities.",The ;people watching the race on tv could not at the same time be riding motorcycles and pass one another in a race in Asia.
A man is using a tool on these long pieces of wood.,A man is using a tool.,0,"The man is using a tool, which is evident from the premise that describes him working with long pieces of wood.",Using a tool on these pieces of wood is more specific than using a tool
A thin man rolls a metal ball on his arm while several people watch.,The fat man is rolling a ball on his arm.,2,"The premise describes a thin man rolling a metal ball, while the hypothesis incorrectly states that a fat man is performing the same action.",There can be either a thin man or a fat man.
A crowd of people watching a band play music on the sidewalk.,The group is singing in the rain.,2,"A crowd of people can enjoy music together, but there is no indication that they are singing or that it is raining.",It is generally unwise to play instruments in the rain.
A girl is observing some carvings on a stone wall.,The carvings are drawn on the wall in crayon.,2,"The premise describes a girl observing carvings, but it does not specify the medium used for the carvings.",Carvings go into the stone and are not just drawn onto the top.
An elderly Asian man is bearing a green flag in a dragon parade.,There is a dragon parade going on.,0,"A dragon parade is taking place, as indicated by the presence of an elderly Asian man bearing a green flag.",An elderly Asian man is a dragon parade.
"A little boy is in a swimming pool with goggles on, covering his mouth and nose with his hands just above the surface of the water.",Nobody has goggles.,2,"The premise states that a little boy is wearing goggles, which directly contradicts the hypothesis that nobody has goggles.",A little boy should have goggles or not at a time.
People eat under green trees.,People are outdoors.,0,People eating under green trees suggests they are in a natural outdoor setting.,Trees are outdoors.
Boy lies on stomach in grass.,A boy lies in the green grass.,1,"A boy lying on his stomach in grass suggests he is resting in a grassy area, which can be described as green grass.",Grass is not always green.
A couple wearing coats and holding hands.,The couple are wearing clothes.,0,A couple wearing coats indicates that they are indeed dressed in clothing.,A couple wearing coats implies that they are wearing clothes.
A man selling colorfully patterned rugs enjoys a drink from a coffee cup on a sunny day.,A man is raising money for his trip to texas,1,"The man selling rugs may need to raise funds for his trip to Texas, as selling items can often be a way to gather money for travel.",A man can sell rugs for reasons other than raising money for a trip to Texas.
Friends having fun playing in the water geyser.,School children sitting at their desks diligently working on spelling words.,2,"Friends playing in a water geyser are engaged in a fun activity, while school children are focused on their studies at their desks.",Playing and sitting are different actions. A water geyser cannot be in the same place as a desk.
"A native boy, in yellow, swinging from a rope.",A boy is swinging from a rope into a river,1,A boy swinging from a rope could potentially be swinging into a river.,Swinging from a rope does not imply swinging into a river.
Four school aged kids are playing dodgeball in the gym,Kids are playing scocer.,2,"The kids are engaged in a game, but the specific sport they are playing is dodgeball, not soccer.",Kids may not mean four kids and playing soccer is not dodgeball.
A man playing a violin is in front of another man playing the accordion.,The orchestra is playing,2,"The presence of a man playing the violin and another man playing the accordion suggests that they could be part of a musical performance, which might indicate that an orchestra is playing.",A man is not an entire orchestra.
